Order,A - URL,B - Venue Name,C - Phone,D - Venue Highlights,E - Guest Capacity,F - Address
179,https://www.wedding-spot.com/venue/3885/the-1912-club/,The 1912 Club,610-272-4050 ext. 223,"Indoor and outdoor spaces,Rentals included,Valet parking",250,"888 Plymouth Road , Plymouth Meeting, PA 19462"
176,https://www.wedding-spot.com/venue/2680/whitebox-art-center/,Whitebox Art Center,917-771-2230,"BYO,Valet parking",150,"329 Broome Street #1 , New York, NY 10002"
174,https://www.wedding-spot.com/venue/6202/kemerer-museum/,Kemerer Museum,610-882-0450 ext. 20,"Indoor and outdoor spaces,BYO,Valet parking",140,"427 North New Street , Bethlehem, PA 18018"
177,https://www.wedding-spot.com/venue/14712/ap-creative/,AP Creative,347-404-6147,"BYO,Valet parking",80,"420 Troutman Street , Brooklyn, NY 11237"
178,https://www.wedding-spot.com/venue/820/doubletree-by-hilton-hotel-philadelphia-airport/,DoubleTree by Hilton Hotel Philadelphia Airport,215-365-4150,"Rentals included,Valet parking",250,"4509 Island Avenue , Philadelphia, PA 19153"
175,https://www.wedding-spot.com/venue/5219/zanger-hall/,Zanger Hall,212-671-2511,"Rentals included,Valet parking",500,"347 West 34th Street , New York, NY 10001"
216,https://www.wedding-spot.com/venue/1634/yachts-for-all-seasons-lexington/,Yachts For All Seasons: Lexington,212-534-6380,"Rehearsal dinner and bridal shower,Indoor and outdoor spaces,Valet parking",75,"New York Skyports 2430 FDR Drive Service Road East, New York, NY 10010"
215,https://www.wedding-spot.com/venue/6509/the-eastonian/,The Eastonian,610-923-0511,"Upgraded rentals included,Rentals included,Valet parking",450,"90 Kunkle Drive , Easton, PA 18045"
214,https://www.wedding-spot.com/venue/14658/bobo/,Bobo,212-488-2624,"Indoor and outdoor spaces,Upgraded rentals included,Valet parking",80,"181 West 10th Street , New York, NY 10014"
213,https://www.wedding-spot.com/venue/8878/the-jewish-museum/,The Jewish Museum,212-423-3216,"BYO,Valet parking",250,"1109 5th Avenue  , New York, NY 10128"
212,https://www.wedding-spot.com/venue/3097/hilton-garden-inn-valley-forge-oaks/,Hilton Garden Inn Valley Forge/Oaks,610-650-0880,"Rentals included,Valet parking",140,"500 Cresson Boulevard , Phoenixville, PA 19460"
210,https://www.wedding-spot.com/venue/8638/tonys-di-napoli-upper-east-side/,Tony's Di Napoli - Upper East Side,212-888-6333,"Rentals included,Valet parking",90,"1081 3rd Avenue , New York, NY 10065"
211,https://www.wedding-spot.com/venue/10136/the-inn-at-penn-a-hilton-hotel-philadelphia-university-city/,"The Inn at Penn, a Hilton Hotel Philadelphia University City",215-823-6206,"Indoor and outdoor spaces,Rentals included,Valet parking",230,"3600 Sansom Street , Philadelphia, PA 19104"
209,https://www.wedding-spot.com/venue/13931/hotel-belleclaire/,Hotel Belleclaire,212-706-4480,"BYO,Valet parking",65,"250 West 77th Street , New York, NY 10024"
208,https://www.wedding-spot.com/venue/11486/chapel-hill-golf-course/,Chapel Hill Golf Course,610-775-8855,Indoor and outdoor spaces,150,"2023 Old Lancaster Pike , Reading, PA 19608"
206,https://www.wedding-spot.com/venue/5798/cultural-center-at-cchs/,Cultural Center at CCHS,610-692-4800 ext. 2,"Indoor and outdoor spaces,BYO,Valet parking",250,"225 North High Street , West Chester, PA 19380"
204,https://www.wedding-spot.com/venue/3651/the-champagne-room-at-polish-american-citizens-association/,The Champagne Room at Polish American Citizens Association,610-653-5463,Valet parking,175,"65-67 Marple Avenue , Clifton Heights, PA 19018"
207,https://www.wedding-spot.com/venue/14555/sheraton-valley-forge/,Sheraton Valley Forge,484-238-1825,"Indoor and outdoor spaces,Rentals included,Valet parking",700,"480 North Gulph Road , King of Prussia, PA 19406"
203,https://www.wedding-spot.com/venue/9661/analogue/,Analogue,212-432-0200,,200,"19 West Eighth Street , New York, NY 10011"
202,https://www.wedding-spot.com/venue/14614/holiday-inn-brooklyn-downtown/,Holiday Inn Brooklyn Downtown,718-624-2211,"Rentals included,Valet parking",50,"300 Schermerhorn Street , Brooklyn, NY 11217"
200,https://www.wedding-spot.com/venue/8648/amali/,Amali,212-339-8363,"Rentals included,Valet parking",100," 115 East 60th Street , New York, NY 10022"
205,https://www.wedding-spot.com/venue/4516/cozara/,coZara,267-233-7488,"Indoor and outdoor spaces,Upgraded rentals included,Valet parking",45,"3200 Chestnut Street , Philadelphia, PA 19104"
199,https://www.wedding-spot.com/venue/11342/sofitel-philadelphia/,Sofitel Philadelphia,,"Upgraded rentals included,Rentals included,Valet parking",250,"120 South 17th Street , Philadelphia, PA 19103"
201,https://www.wedding-spot.com/venue/6151/national-liberty-museum/,National Liberty Museum,215-925-2800 ext. 129,Valet parking,100,"321 Chestnut Street , Philadelphia, PA 19106"
196,https://www.wedding-spot.com/venue/4228/east-greenville-fire-hall-banquet-hall/,East Greenville Fire Hall Banquet Hall,215-679-7875,Valet parking,350,"East Greenville Fire Company  , East Greenville, PA 18041"
197,https://www.wedding-spot.com/venue/284/roulette/,Roulette,917-267-0370 ext. 303,BYO,150,"509 Atlantic Avenue , Brooklyn, NY 11217"
198,https://www.wedding-spot.com/venue/1500/brookside-country-club-philadelphia/,Brookside Country Club - Philadelphia,610-323-4520,"Indoor and outdoor spaces,Valet parking",220,"850 North Adams Street , Pottstown, PA 19464"
195,https://www.wedding-spot.com/venue/9801/spring-ford-country-club/,Spring Ford Country Club,610-948-0580 ext. 224,"Indoor and outdoor spaces,Upgraded rentals included",200,"48 Country Club Road , Royersford, PA 19468"
194,https://www.wedding-spot.com/venue/3908/national-constitution-center/,National Constitution Center,215-409-6639,"Indoor and outdoor spaces,Rentals included,Valet parking",500,"525 Arch Street , Philadelphia, PA 19106"
193,https://www.wedding-spot.com/venue/1913/the-studio-at-28-crosby/,The Studio at 28 Crosby,646-254-8579,"Rentals included,Valet parking",85,"462 Broadway  4th Floor, New York, NY 10013"
191,https://www.wedding-spot.com/venue/1612/quality-meats-nyc/,Quality Meats NYC,212-838-2061 ext. 2326,"Rentals included,Valet parking",125,"57 West 58th Street , New York, NY 10019"
192,https://www.wedding-spot.com/venue/1789/flatiron-penthouse/,Flatiron Penthouse,646-558-5860,"Indoor and outdoor spaces,Valet parking",80,"18 West 23rd Street 5th Floor, New York, NY 10010"
190,https://www.wedding-spot.com/venue/3694/fishers-bensalem/,Fishers Bensalem,215-244-9777,"Rentals included,Valet parking",500,"1858 Street Road , Bensalem, PA 19020"
188,https://www.wedding-spot.com/venue/13703/the-surrey-a-corinthia-hotel/,"The Surrey, A Corinthia Hotel",646-358-3626,"Indoor and outdoor spaces,Rentals included,Valet parking",80,"20 East 76th Street , New York, NY 10021"
186,https://www.wedding-spot.com/venue/11619/bern-farm/,Bern Farm,484-671-3913,"Indoor and outdoor spaces,BYO",200,"1160 Old Bernville Road , Reading, PA 19605"
187,https://www.wedding-spot.com/venue/3909/chart-house-philadelphia/,Chart House Philadelphia,215-625-8383,"Indoor and outdoor spaces,Valet parking",250,"555 South Columbus Blvd. , Philadelphia, PA 19147"
189,https://www.wedding-spot.com/venue/2671/carmines-new-york/,Carmine's New York,212-221-3800 ext. 225,"Upgraded rentals included,Valet parking",200,"200 West 44th Street , New York, NY 10036"
185,https://www.wedding-spot.com/venue/5643/bryn-athyn-college/,Bryn Athyn College,267-760-0744,"Indoor and outdoor spaces,BYO,Valet parking",400,"2945 College Drive , Bryn Athyn, PA 19009"
184,https://www.wedding-spot.com/venue/11784/spin-philadelphia/,"SPiN, Philadelphia",484-919-6027,Valet parking,400," 211 South 15th Street , Philadelphia, PA 19102"
182,https://www.wedding-spot.com/venue/11018/founders-lab-nyc/,Founders Lab NYC,347-223-9102,"BYO,Valet parking",200,"972 Metropolitan Avenue , Brooklyn, NY 11211"
183,https://www.wedding-spot.com/venue/3946/old-york-road-country-club/,Old York Road Country Club,215-643-0180 ext. 100,"Indoor and outdoor spaces,Rentals included,Valet parking",165,"801 Tennis Avenue , Ambler, PA 19002"
172,https://www.wedding-spot.com/venue/9800/spring-mill-ballroom/,Spring Mill Ballroom,610-283-2371,,225,"1210 East Hector Street , Conshohocken, PA 19428"
173,https://www.wedding-spot.com/venue/3645/sheraton-philadelphia-downtown/,Sheraton Philadelphia Downtown,215-448-2964,"Award winner,Rentals included,Valet parking",1000,"201 North 17th Street , Philadelphia, PA 19103"
171,https://www.wedding-spot.com/venue/1456/city-cruises-philadelphia/,City Cruises Philadelphia,267-238-3618,"Indoor and outdoor spaces,Upgraded rentals included,Rentals included",530,"401 South Columbus Boulevard , Philadelphia, PA 19106"
170,https://www.wedding-spot.com/venue/12733/heroes-ballroom/,Heroes Ballroom,215-629-3606,"Award winner,Rentals included,Valet parking",350,"11630 Caroline Road , Philadelphia, PA 19154"
169,https://www.wedding-spot.com/venue/11798/st-agatha-st-james-parish/,St. Agatha - St. James Parish,267-787-5000 ext. 1,Valet parking,600,"3728 Chestnut Street , Philadelphia, PA 19104"
167,https://www.wedding-spot.com/venue/11471/st-marys-hamilton-village/,"St. Mary's, Hamilton Village",215-386-3916,Valet parking,300,"3916 Locust Walk , Philadelphia, PA 19104"
165,https://www.wedding-spot.com/venue/11808/park-avenue-united-methodist-church/,Park Avenue United Methodist Church,212-427-5421,Upgraded rentals included,380,"106 East 86th Street , New York, NY 10028"
166,https://www.wedding-spot.com/venue/3067/general-warren/,General Warren,610-296-3637,"Award winner,Indoor and outdoor spaces,Valet parking",125,"9 Old Lancaster Road  , Malvern, PA 19355"
164,https://www.wedding-spot.com/venue/6203/moravian-museum/,Moravian Museum,610-882-0450 ext. 20,"BYO,Valet parking",80,"66 West Church Street , Bethlehem, PA 18018"
168,https://www.wedding-spot.com/venue/3931/ruths-chris-steakhouse-king-of-prussia/,Ruth's Chris Steakhouse - King of Prussia,610-992-1818,"Upgraded rentals included,Valet parking",100,"220 North Gulph Road , King of Prussia, PA 19406"
163,https://www.wedding-spot.com/venue/9094/loews-regency-new-york-hotel/,Loews Regency New York Hotel,212-339-4024,"Rentals included,Valet parking",75,"540 Park Avenue , New York, NY 10065"
161,https://www.wedding-spot.com/venue/11823/magnolia/,Magnolia,917-605-0363,"Indoor and outdoor spaces,Valet parking",200,"350 West 40th Street , New York, NY 10018"
160,https://www.wedding-spot.com/venue/9452/the-black-lady-theatre/,The Black Lady Theatre,718-771-0900,"BYO,Valet parking",500,"750 Nostrand Avenue , Brooklyn, NY 11216"
158,https://www.wedding-spot.com/venue/13316/four-points-by-sheraton-melville-long-island/,Four Points by Sheraton Melville Long Island,516-694-6500 ext. 303,"Rentals included,Valet parking",96,"333 South Service Road , Plainview, NY 11803"
159,https://www.wedding-spot.com/venue/247/essex-club/,Essex Club,,"Award winner,Indoor and outdoor spaces,Upgraded rentals included",228,"100 Pennsylvania Avenue , Brentwood, NY 11717"
162,https://www.wedding-spot.com/venue/12975/the-common-place/,The Common Place,267-275-8238,"BYO,Valet parking",400,"5736 Chester Avenue , Philadelphia, PA 19143"
157,https://www.wedding-spot.com/venue/1659/the-prince-kitano-hotel-new-york/,The Prince Kitano Hotel New York,212-885-7017,"Indoor and outdoor spaces,Rentals included,Valet parking",70,"66 Park Avenue East 38th Street , New York, NY 10016"
156,https://www.wedding-spot.com/venue/8647/the-merchants-house-museum/,The Merchant's House Museum,212-777-1089,"Indoor and outdoor spaces,BYO,Valet parking",40,"29 East Fourth Street , New York, NY 10003"
154,https://www.wedding-spot.com/venue/13513/the-bushwick-starr/,The Bushwick Starr ,,"BYO,Valet parking",70,"207A Starr Street , Brooklyn, NY 11237"
155,https://www.wedding-spot.com/venue/2623/bouley-botanical/,Bouley Botanical,917-237-3205,"Rentals included,Valet parking",70,"281 Church Street , New York, NY 10013"
153,https://www.wedding-spot.com/venue/15206/talamore-country-club/,Talamore Country Club,215-837-9196,"Award winner,Indoor and outdoor spaces,Upgraded rentals included",300,"723 Talamore Drive , Ambler, PA 19002"
152,https://www.wedding-spot.com/venue/11620/the-loft-in-flatiron/,The Loft in Flatiron,917-803-7270,BYO,100,"20 West 23rd Street, 4th Floor , New York, NY 10010"
151,https://www.wedding-spot.com/venue/8625/ristorante-degrezia/,Ristorante DeGrezia,212-750-5353,"Upgraded rentals included,Rentals included,Valet parking",120,"231 East 50th Steet , New York, NY 10022"
149,https://www.wedding-spot.com/venue/1741/quality-italian/,Quality Italian,212-838-2061 ext. 2326,"Rentals included,Valet parking",40,"57 West 57th Street , New York, NY 10019"
150,https://www.wedding-spot.com/venue/3225/sofitel-new-york/,Sofitel New York,212-782-3016,"Indoor and outdoor spaces,Rentals included,Valet parking",150,"45 West 44th Street , New York, NY 10036"
148,https://www.wedding-spot.com/venue/12628/kave-brooklyn/,KAVE Brooklyn,646-250-9949,"Indoor and outdoor spaces,BYO,Valet parking",50,"1087 Flushing Avenue #121 , Brooklyn, NY 11237"
147,https://www.wedding-spot.com/venue/1704/hotel-giraffe/,Hotel Giraffe,212-894-0497,"Rehearsal dinner and bridal shower,Indoor and outdoor spaces,Rentals included",40,"365 Park Avenue South , New York, NY 10016"
146,https://www.wedding-spot.com/venue/450/garys-loft/,Gary's Loft,917-837-2420,"Indoor and outdoor spaces,BYO,Valet parking",150,"28 West 36th Street , New York, NY 10018"
135,https://www.wedding-spot.com/venue/13686/lovecraft/,Lovecraft,917-612-3855,"Rentals included,Valet parking",300,"50 Avenue B , New York, NY 10009"
134,https://www.wedding-spot.com/venue/1714/rubin-museum-of-art/,Rubin Museum of Art,212-620-5000 ext. 292,"Rentals included,Valet parking",150,"150 West 17th Street , New York, NY 10011"
133,https://www.wedding-spot.com/venue/5061/il-buco/,Il Buco,917-484-4016,"BYO,Rentals included,Valet parking",70,"47 Bond Street , New York, NY 10012"
137,https://www.wedding-spot.com/venue/1625/yachts-for-all-seasons-hybrid/,Yachts For All Seasons: Hybrid,212-534-6380,"Rehearsal dinner and bridal shower,Indoor and outdoor spaces,Rentals included",250,"Pier 40 at Hudson River Park , New York, NY 10011"
131,https://www.wedding-spot.com/venue/13512/the-bogardus-mansion/,The Bogardus Mansion,646-729-6139,"Rehearsal dinner and bridal shower,BYO,Valet parking",125,"75 Murray Street , New York, NY 10007"
130,https://www.wedding-spot.com/venue/16459/gemelli-and-the-ledge/,Gemelli and the Ledge,,"Indoor and outdoor spaces,BYO",250,"48 Cypress Ave Brooklyn, Brooklyn, NY 11237"
136,https://www.wedding-spot.com/venue/11667/the-mariner-iii/,The Mariner III,917-471-0585,Rentals included,90,"Pier 60 Chelsea Piers West 23rd Street &amp; Hudson River Park, New York, NY 10011"
132,https://www.wedding-spot.com/venue/13533/events-at-stone-park/,Events at Stone Park,718-369-0082,"Upgraded rentals included,Rentals included,Valet parking",60," 357 3rd Street , Brooklyn, NY 11215"
129,https://www.wedding-spot.com/venue/6204/colonial-industrial-quarter/,Colonial Industrial Quarter,610-882-0450 ext. 20,"Indoor and outdoor spaces,BYO,Valet parking",250,"459 Old York Road , Bethlehem, PA 18018"
128,https://www.wedding-spot.com/venue/13786/landmark-on-main-street/,Landmark On Main Street,516-767-1384,Valet parking,425,"232 Main Street , Port Washington, NY 11050"
127,https://www.wedding-spot.com/venue/248/the-pavilion-at-sunken-meadow/,The Pavilion at Sunken Meadow,,"2x award winner,Indoor and outdoor spaces,Rentals included",300,"Sunken Meadow State Park Parking Field #2, Kings Park, NY 11754"
126,https://www.wedding-spot.com/venue/5222/new-york-water-taxi/,New York Water Taxi,212-630-8121,"Indoor and outdoor spaces,Rentals included,Valet parking",200,"83 North River Piers 2th Ave &amp; 42nd, New York, NY 10036"
123,https://www.wedding-spot.com/venue/231/le-cirque/,Le Cirque,212-405-5095,Rentals included,170,"One Beacon Court 151 East 58th Street, New York, NY 10022"
122,https://www.wedding-spot.com/venue/8677/blue-fin-times-square/,Blue Fin Times Square,212-331-0313,"Upgraded rentals included,Rentals included,Valet parking",275,"1567 Broadway , New York, NY 10036"
124,https://www.wedding-spot.com/venue/14879/heritage-club-at-bethpage/,Heritage Club at Bethpage,,"Indoor and outdoor spaces,Upgraded rentals included,Rentals included",500,"99 Quaker Meeting House Road , Farmingdale, NY 11735"
125,https://www.wedding-spot.com/venue/13749/sixth-floor-loft/,Sixth Floor Loft,212-982-8113,Valet parking,60,"873 Broadway , New York, NY 10003"
120,https://www.wedding-spot.com/venue/264/the-mansion-at-west-sayville/,The Mansion at West Sayville,,"Indoor and outdoor spaces,Rentals included,Valet parking",200,"200 Main Street , West Sayville, NY 11796"
121,https://www.wedding-spot.com/venue/273/360-east-at-montauk-downs/,360 East at Montauk Downs,,"Award winner,Indoor and outdoor spaces,Rentals included",218,"50 South Fairview Avenue , Montauk, NY 11954"
119,https://www.wedding-spot.com/venue/9318/the-bryant-park-hotel/,The Bryant Park Hotel,212-869-0100,"Rehearsal dinner and bridal shower,Valet parking",120,"40 West 40th Street , New York, NY 10018"
117,https://www.wedding-spot.com/venue/1613/riff-raffs/,Riff Raffs,212-838-2061 ext. 2326,"Rentals included,Valet parking",40,"360 Park Avenue South , New York, NY 10010"
118,https://www.wedding-spot.com/venue/5071/first-unitarian-congressional-society-brooklyn/,First Unitarian Congressional Society Brooklyn,718-404-2348,"BYO,Valet parking",400,"116 Pierrepont Street , Brooklyn, NY 11201"
116,https://www.wedding-spot.com/venue/2476/inside-park-at-st-barts/,Inside Park at St. Bart's,347-658-2954,Valet parking,75,"325 Park Avenue , New York, NY 10022"
114,https://www.wedding-spot.com/venue/1343/the-mansion-at-oyster-bay/,The Mansion at Oyster Bay,,"Award winner,Indoor and outdoor spaces,Upgraded rentals included",288,"1 S Woods Road , Woodbury, NY 11797"
113,https://www.wedding-spot.com/venue/14654/fifth-avenue-presbyterian-church/,Fifth Avenue Presbyterian Church,212-247-0490 ext. 3018,Valet parking,1800,"7 West 55th Street , New York, NY 10019"
112,https://www.wedding-spot.com/venue/13700/the-james-new-york-soho/,The James New York - SoHo,212-465-2000,"Indoor and outdoor spaces,BYO,Upgraded rentals included",100,"27 Grand Street , New York, NY 10013"
115,https://www.wedding-spot.com/venue/13702/the-james-new-york-nomad/,The James New York NoMad,646-424-2621,"Rentals included,Valet parking",120,"22 East 29th Street , New York, NY 10016"
111,https://www.wedding-spot.com/venue/8584/the-library-hotel/,The Library Hotel,212-204-5408,"Rehearsal dinner and bridal shower,Indoor and outdoor spaces,Upgraded rentals included",50,"299 Madison Avenue,  , New York, NY 10017"
101,https://www.wedding-spot.com/venue/285/the-view-at-oakdale/,The View at Oakdale,,"Indoor and outdoor spaces,Rentals included,Valet parking",220,"3 Consuelo Place , Oakdale, NY 11769"
110,https://www.wedding-spot.com/venue/3228/inn-at-great-neck-world-hotels-crafted/,"Inn at Great Neck, World Hotels Crafted",516-773-2000,"Rentals included,Valet parking",135,"30 Cutter Mill Road , Great Neck, NY 11021"
99,https://www.wedding-spot.com/venue/6570/hilton-garden-inn-hamilton/,Hilton Garden Inn Hamilton,609-570-4160,"Indoor and outdoor spaces,Upgraded rentals included,Rentals included",200,"800 US Highway 130 , Hamilton Township, NJ 08691"
